gene,Position,Gene synonym,Ensembl,Gene description
RUSF1,chr16:31489471-31509309,"C16orf58, FLJ13868",ENSG00000140688,RUS family member 1
RUVBL1,chr3:128064778-128153914,"ECP54, INO80H, NMP238, Pontin52, RVB1, TIH1, TIP49, TIP49a",ENSG00000175792,RuvB like AAA ATPase 1
RUVBL2,chr19:48993562-49015970,"ECP51, INO80J, Reptin52, RVB2, TIH2, TIP48, TIP49b",ENSG00000183207,RuvB like AAA ATPase 2
RWDD1,chr6:116571409-116597675,PTD013,ENSG00000111832,RWD domain containing 1
RWDD2A,chr6:83193357-83198935,"dJ747H23.2, MGC13523, RWDD2",ENSG00000013392,RWD domain containing 2A
RWDD2B,chr21:29004384-29019360,"C21orf6, GL011",ENSG00000156253,RWD domain containing 2B
RWDD3,chr1:95234210-95247225,"DKFZP566K023, RSUME",ENSG00000122481,RWD domain containing 3
RWDD4,chr4:183639635-183659203,"FAM28A, MGC10198, RWDD4A",ENSG00000182552,RWD domain containing 4
RXFP1,chr4:158315311-158653372,"LGR7, RXFPR1",ENSG00000171509,Relaxin family peptide receptor 1
RXFP2,chr13:31739526-31803389,"GPR106, GREAT, INSL3R, LGR8, RXFPR2",ENSG00000133105,Relaxin family peptide receptor 2
RXFP3,chr5:33936386-33938918,"GPCR135, RLN3R1, RXFPR3, SALPR",ENSG00000182631,Relaxin family peptide receptor 3
RXFP4,chr1:155941638-155943087,"GPCR142, GPR100, RLN3R2, RXFPR4",ENSG00000173080,Relaxin family peptide/INSL5 receptor 4
RXRA,chr9:134317098-134440585,"NR2B1, RXR-alpha, RXRalpha",ENSG00000186350,Retinoid X receptor alpha
RXRB,chr6:33193588-33200665,"H-2RIIBP, NR2B2, RCoR-1, RXR-beta, RXRbeta",ENSG00000204231,Retinoid X receptor beta
RXRG,chr1:165400922-165445355,"NR2B3, RXR-gamma, RXRgamma",ENSG00000143171,Retinoid X receptor gamma
RXYLT1,chr12:63779833-63809792,"HP10481, TMEM5",ENSG00000118600,Ribitol xylosyltransferase 1
RYBP,chr3:72371825-72446621,"AAP1, DEDAF, YEAF1",ENSG00000163602,RING1 and YY1 binding protein
RYK,chr3:134065303-134250859,"D3S3195, JTK5, JTK5A, RYK1",ENSG00000163785,Receptor like tyrosine kinase
RYR1,chr19:38433691-38595273,"CCO, MHS, MHS1, PPP1R137, RYR",ENSG00000196218,Ryanodine receptor 1
RYR2,chr1:237042184-237833988,"ARVC2, ARVD2, VTSIP",ENSG00000198626,Ryanodine receptor 2
RYR3,chr15:33310962-33866121,NA,ENSG00000198838,Ryanodine receptor 3
S100A1,chr1:153627926-153632039,"S100-alpha, S100A",ENSG00000160678,S100 calcium binding protein A1
S100A10,chr1:151982915-151993859,"42C, ANX2LG, CAL1L, CLP11, P11",ENSG00000197747,S100 calcium binding protein A10
S100A11,chr1:152032506-152047907,S100C,ENSG00000163191,S100 calcium binding protein A11
S100A12,chr1:153373711-153375621,"CAAF1, CAGC, CGRP, ENRAGE, MRP6, p6",ENSG00000163221,S100 calcium binding protein A12
S100A13,chr1:153618787-153631360,NA,ENSG00000189171,S100 calcium binding protein A13
S100A14,chr1:153614255-153616986,"BCMP84, S100A15",ENSG00000189334,S100 calcium binding protein A14
S100A16,chr1:153606886-153613145,"DT1P1A7, MGC17528, S100F",ENSG00000188643,S100 calcium binding protein A16
S100A2,chr1:153561108-153567890,"CAN19, S100L",ENSG00000196754,S100 calcium binding protein A2
S100A3,chr1:153547329-153549258,S100E,ENSG00000188015,S100 calcium binding protein A3
S100A4,chr1:153543613-153550136,"18A2, 42A, CAPL, FSP1, MTS1, P9KA, PEL98",ENSG00000196154,S100 calcium binding protein A4
S100A5,chr1:153537147-153541765,S100D,ENSG00000196420,S100 calcium binding protein A5
S100A6,chr1:153534599-153536244,"2A9, CABP, CACY, PRA",ENSG00000197956,S100 calcium binding protein A6
S100A7,chr1:153457744-153460651,"PSOR1, S100A7c",ENSG00000143556,S100 calcium binding protein A7
S100A7A,chr1:153416520-153423222,"S100A15, S100A7f, S100A7L1",ENSG00000184330,S100 calcium binding protein A7A
S100A8,chr1:153390032-153391073,"60B8AG, CAGA, CFAG, CGLA, MRP-8, MRP8, P8, S100-A8",ENSG00000143546,S100 calcium binding protein A8
S100A9,chr1:153357854-153361023,"60B8AG, CAGB, CFAG, CGLB, LIAG, MAC387, MIF, MRP-14, MRP14, NIF, P14, S100-A9",ENSG00000163220,S100 calcium binding protein A9
S100B,chr21:46598604-46605208,S100beta,ENSG00000160307,S100 calcium binding protein B
S100G,chrX:16650158-16654670,"CABP1, CABP9K, CALB3",ENSG00000169906,S100 calcium binding protein G
S100P,chr4:6693878-6697170,NA,ENSG00000163993,S100 calcium binding protein P
S100PBP,chr1:32816767-32858875,"FLJ12903, S100PBPR",ENSG00000116497,S100P binding protein
S100Z,chr5:76850001-76921650,"Gm625, S100-zeta",ENSG00000171643,S100 calcium binding protein Z
S1PR1,chr1:101236865-101243713,"CD363, D1S3362, edg-1, EDG1",ENSG00000170989,Sphingosine-1-phosphate receptor 1
S1PR2,chr19:10221433-10231331,"AGR16, DFNB68, EDG5, Gpcr13, H218",ENSG00000267534,Sphingosine-1-phosphate receptor 2
S1PR3,chr9:88990863-89005155,"bA791O21.3, C9orf108, C9orf47, EDG-3, EDG3, FLJ37523",ENSG00000213694,Sphingosine-1-phosphate receptor 3
S1PR4,chr19:3172346-3180332,EDG6,ENSG00000125910,Sphingosine-1-phosphate receptor 4
S1PR5,chr19:10512742-10517931,"Edg-8, EDG8",ENSG00000180739,Sphingosine-1-phosphate receptor 5
SAA1,chr11:18266260-18269977,"PIG4, SAA, TP53I4",ENSG00000173432,Serum amyloid A1
SAA2,chr11:18239223-18248668,NA,ENSG00000134339,Serum amyloid A2
SAA2-SAA4,chr11:18231423-18248635,NA,ENSG00000255071,SAA2-SAA4 readthrough
SAA4,chr11:18231355-18236802,"C-SAA, CSAA",ENSG00000148965,"Serum amyloid A4, constitutive"
SAAL1,chr11:18069935-18106087,FLJ41463,ENSG00000166788,Serum amyloid A like 1
SAC3D1,chr11:65040901-65044828,"HSU79266, SHD1",ENSG00000168061,SAC3 domain containing 1
SACM1L,chr3:45689056-45745412,"KIAA0851, SAC1",ENSG00000211456,SAC1 like phosphatidylinositide phosphatase
SACS,chr13:23288689-23433763,"ARSACS, DKFZp686B15167, DNAJC29, KIAA0730, PPP1R138, SPAX6",ENSG00000151835,Sacsin molecular chaperone
SAE1,chr19:47113274-47210636,"AOS1, FLJ3091, Sua1",ENSG00000142230,SUMO1 activating enzyme subunit 1
SAFB,chr19:5623035-5668478,"HET, SAFB1",ENSG00000160633,Scaffold attachment factor B
SAFB2,chr19:5586999-5624046,KIAA0138,ENSG00000130254,Scaffold attachment factor B2
SAG,chr2:233307816-233347055,"ARRESTIN, RP47",ENSG00000130561,S-antigen visual arrestin
SAGE1,chrX:135889205-135913062,"CT14, SAGE",ENSG00000181433,Sarcoma antigen 1
SALL1,chr16:51135982-51152334,"Hsal1, TBS, ZNF794",ENSG00000103449,Spalt like transcription factor 1
SALL2,chr14:21521080-21537216,"Hsal2, KIAA0360, ZNF795",ENSG00000165821,Spalt like transcription factor 2
SALL3,chr18:78979818-79002677,ZNF796,ENSG00000256463,Spalt like transcription factor 3
SALL4,chr20:51782331-51802521,"dJ1112F19.1, ZNF797",ENSG00000101115,Spalt like transcription factor 4
SAMD1,chr19:14087851-14091036,NA,ENSG00000141858,Sterile alpha motif domain containing 1
SAMD10,chr20:63974116-63980008,C20orf136,ENSG00000130590,Sterile alpha motif domain containing 10
SAMD11,chr1:923923-944575,MGC45873,ENSG00000187634,Sterile alpha motif domain containing 11
SAMD12,chr8:118189455-118622112,FLJ39458,ENSG00000177570,Sterile alpha motif domain containing 12
SAMD13,chr1:84298366-84389957,NA,ENSG00000203943,Sterile alpha motif domain containing 13
SAMD14,chr17:50110040-50130160,FLJ36890,ENSG00000167100,Sterile alpha motif domain containing 14
SAMD15,chr14:77376689-77392163,"C14orf174, FAM15A, FLJ35963",ENSG00000100583,Sterile alpha motif domain containing 15
SAMD3,chr6:130144315-130365425,"bA73O6.2, FLJ34032",ENSG00000164483,Sterile alpha motif domain containing 3
SAMD4A,chr14:54566117-54793315,"DKFZP434H0350, hSmaug1, KIAA1053, SAMD4, Smaug, SMG, SMGA",ENSG00000020577,Sterile alpha motif domain containing 4A
SAMD4B,chr19:39342421-39385710,"FLJ10211, hSmaug2, MGC99832, SMGB",ENSG00000179134,Sterile alpha motif domain containing 4B
SAMD5,chr6:147508690-147737547,dJ875H10.1,ENSG00000203727,Sterile alpha motif domain containing 5
SAMD7,chr3:169911572-169939175,DKFZp686E1583,ENSG00000187033,Sterile alpha motif domain containing 7
SAMD8,chr10:75099586-75182123,"FLJ25082, SMSr",ENSG00000156671,Sterile alpha motif domain containing 8
SAMD9,chr7:93099513-93118023,"C7orf5, FLJ20073, KIAA2004",ENSG00000205413,Sterile alpha motif domain containing 9
SAMD9L,chr7:93130056-93148385,"C7orf6, FLJ39885, KIAA2005",ENSG00000177409,Sterile alpha motif domain containing 9 like
SAMHD1,chr20:36890229-36951893,"AGS5, HDDC1, Mg11, MOP-5, SBBI88",ENSG00000101347,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
SAMM50,chr22:43955442-44010531,"CGI-51, OMP85, SAM50, TOB55, TRG-3, YNL026W",ENSG00000100347,SAMM50 sorting and assembly machinery component
SAMSN1,chr21:14485228-14658821,"HACS1, NASH1, SASH2, SH3D6B, SLy2",ENSG00000155307,"SAM domain, SH3 domain and nuclear localization signals 1"
SANBR,chr2:61065871-61138034,KIAA1841,ENSG00000162929,SANT and BTB domain regulator of CSR
SAP130,chr2:127941217-128028120,FLJ12761,ENSG00000136715,Sin3A associated protein 130
SAP18,chr13:21140119-21149097,"2HOR0202, MGC27131, SAP18p",ENSG00000150459,Sin3A associated protein 18
SAP25,chr7:100572228-100573900,FLJ00248,ENSG00000205307,Sin3A associated protein 25
SAP30,chr4:173369969-173377532,NA,ENSG00000164105,Sin3A associated protein 30
SAP30BP,chr17:75667251-75708062,"HCNGP, HTRG, HTRP",ENSG00000161526,SAP30 binding protein
SAP30L,chr5:154445997-154461053,"FLJ11526, NS4ATP2",ENSG00000164576,SAP30 like
SAPCD1,chr6:31762656-31764850,"C6orf26, NG23",ENSG00000228727,Suppressor APC domain containing 1
SAPCD2,chr9:137062127-137070557,"C9orf140, p42.3",ENSG00000186193,Suppressor APC domain containing 2
SAR1A,chr10:70147289-70170523,"SAR1, Sara, SARA1",ENSG00000079332,Secretion associated Ras related GTPase 1A
SAR1B,chr5:134601149-134649271,SARA2,ENSG00000152700,Secretion associated Ras related GTPase 1B
SARAF,chr8:30063003-30083208,"MGC8721, TMEM66",ENSG00000133872,Store-operated calcium entry associated regulatory factor
SARDH,chr9:133663560-133739955,"DMGDHL1, SDH",ENSG00000123453,Sarcosine dehydrogenase
SARM1,chr17:28364356-28404049,"KIAA0524, SAMD2, SARM",ENSG00000004139,Sterile alpha and TIR motif containing 1
SARNP,chr12:55752463-55817724,"CIP29, Hcc-1, THO1",ENSG00000205323,SAP domain containing ribonucleoprotein
SARS1,chr1:109213918-109238182,"SARS, SERS",ENSG00000031698,Seryl-tRNA synthetase 1
SARS2,chr19:38915266-38930763,"FLJ20450, mtSerRS, SARS, SARSM, SerRSmt, SERS, SYS",ENSG00000104835,"Seryl-tRNA synthetase 2, mitochondrial"
SART1,chr11:65961728-65980137,"Ara1, HAF, SNRNP110, Snu66",ENSG00000175467,"Spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP"
SART3,chr12:108522214-108561400,"KIAA0156, p110, RP11-13G14, TIP110",ENSG00000075856,"Spliceosome associated factor 3, U4/U6 recycling protein"
SASH1,chr6:148272304-148552044,"dJ323M4.1, KIAA0790, SH3D6A",ENSG00000111961,SAM and SH3 domain containing 1
SASH3,chrX:129779949-129795201,"753P9, CXorf9, HACS2, SH3D6C, SLY",ENSG00000122122,SAM and SH3 domain containing 3
SASS6,chr1:100083563-100132955,"DKFZp761A078, FLJ22097, SAS-6, SAS6",ENSG00000156876,SAS-6 centriolar assembly protein
SAT1,chrX:23783173-23786210,"SAT, SSAT",ENSG00000130066,Spermidine/spermine N1-acetyltransferase 1
SAT2,chr17:7626234-7627876,SSAT2,ENSG00000141504,Spermidine/spermine N1-acetyltransferase family member 2
SATB1,chr3:18345377-18445621,NA,ENSG00000182568,SATB homeobox 1
SATB2,chr2:199269505-199471266,"FLJ21474, KIAA1034",ENSG00000119042,SATB homeobox 2
SATL1,chrX:85092284-85243911,NA,ENSG00000184788,Spermidine/spermine N1-acetyl transferase like 1
SAV1,chr14:50632058-50668306,"salvador, WW45, WWP4",ENSG00000151748,Salvador family WW domain containing protein 1
SAXO1,chr9:18858906-19049358,"C9orf138, FAM154A, MGC35182",ENSG00000155875,Stabilizer of axonemal microtubules 1
SAXO2,chr15:82262810-82284930,"DKFZp666G057, FAM154B",ENSG00000188659,Stabilizer of axonemal microtubules 2
SAYSD1,chr6:39104063-39115193,"C6orf64, FLJ11101",ENSG00000112167,SAYSVFN motif domain containing 1
SBDS,chr7:66987680-66995693,"CGI-97, FLJ10917, SDO1, SDS, SWDS",ENSG00000126524,SBDS ribosome maturation factor
SBF1,chr22:50443219-50483923,"DENND7A, MTMR5",ENSG00000100241,SET binding factor 1
SBF2,chr11:9776776-10304877,"CMT4B2, DENND7B, KIAA1766, MTMR13",ENSG00000133812,SET binding factor 2
SBK1,chr16:28259246-28323849,Sbk,ENSG00000188322,SH3 domain binding kinase 1
SBK2,chr19:55528611-55537133,SGK069,ENSG00000187550,SH3 domain binding kinase family member 2
SBK3,chr19:55540656-55545543,SgK110,ENSG00000231274,SH3 domain binding kinase family member 3
SBNO1,chr12:123289109-123364847,"FLJ10701, FLJ10833, MOP3, Sno",ENSG00000139697,Strawberry notch homolog 1
SBNO2,chr19:1107637-1174268,"FLJ00173, KIAA0963, Sno, Stno",ENSG00000064932,Strawberry notch homolog 2
SBSN,chr19:35523367-35528351,"HLAR698, UNQ698",ENSG00000189001,Suprabasin
SBSPON,chr8:73064543-73124088,"C8orf84, RPESP",ENSG00000164764,Somatomedin B and thrombospondin type 1 domain containing
SC5D,chr11:121292681-121313410,SC5DL,ENSG00000109929,Sterol-C5-desaturase
SCAF1,chr19:49642209-49658642,"FLJ00034, SR-A1",ENSG00000126461,SR-related CTD associated factor 1
SCAF11,chr12:45919131-45992120,"CASP11, SFRS2IP, SIP1, SRRP129, SRSF2IP",ENSG00000139218,SR-related CTD associated factor 11
SCAF4,chr21:31671000-31732118,"DKFZp434E098, KIAA1172, SFRS15, SRA4",ENSG00000156304,SR-related CTD associated factor 4
SCAF8,chr6:154733378-154834244,"KIAA1116, RBM16",ENSG00000213079,SR-related CTD associated factor 8
SCAI,chr9:124942608-125143528,"C9orf126, FLJ36664, NET40",ENSG00000173611,Suppressor of cancer cell invasion
SCAMP1,chr5:78360611-78480739,SCAMP37,ENSG00000085365,Secretory carrier membrane protein 1
SCAMP2,chr15:74843730-74873365,NA,ENSG00000140497,Secretory carrier membrane protein 2
SCAMP3,chr1:155255979-155262430,C1orf3,ENSG00000116521,Secretory carrier membrane protein 3
SCAMP4,chr19:1905214-1926013,FLJ33847,ENSG00000227500,Secretory carrier membrane protein 4
SCAMP5,chr15:74957219-75021495,MGC24969,ENSG00000198794,Secretory carrier membrane protein 5
SCAND1,chr20:35953617-35959472,"RAZ1, SDP1",ENSG00000171222,SCAN domain containing 1
SCAP,chr3:47413681-47477126,KIAA0199,ENSG00000114650,SREBF chaperone
SCAPER,chr15:76347904-76905444,"Zfp291, ZNF291",ENSG00000140386,S-phase cyclin A associated protein in the ER
SCARA3,chr8:27633868-27676776,"APC7, CSR, CSR1, MSLR1, MSRL1",ENSG00000168077,Scavenger receptor class A member 3
SCARA5,chr8:27869883-27992673,"FLJ23907, MGC45780, NET33",ENSG00000168079,Scavenger receptor class A member 5
SCARB1,chr12:124776856-124882668,"CD36L1, CLA-1, CLA1, SR-BI, SRB1",ENSG00000073060,Scavenger receptor class B member 1
SCARB2,chr4:76158737-76234536,"CD36L2, HLGP85, LIMP-2, LIMPII, SR-BII",ENSG00000138760,Scavenger receptor class B member 2
SCARF1,chr17:1633858-1645744,"KIAA0149, SREC, SREC1",ENSG00000074660,Scavenger receptor class F member 1
SCARF2,chr22:20424584-20437826,"HUMZD58C02, SREC-II, SREC2",ENSG00000244486,Scavenger receptor class F member 2
SCART1,chr10:133453928-133523558,CD163c-alpha,ENSG00000214279,Scavenger receptor family member expressed on T cells 1
SCCPDH,chr1:246724409-246768137,"CGI-49, NET11",ENSG00000143653,Saccharopine dehydrogenase (putative)
SCD,chr10:100347233-100364826,"FADS5, SCD1, SCDOS",ENSG00000099194,Stearoyl-CoA desaturase
SCD5,chr4:82629539-82798796,"ACOD4, FADS4, FLJ21032, HSCD5, SCD4",ENSG00000145284,Stearoyl-CoA desaturase 5
SCEL,chr13:77535674-77645263,"FLJ21667, MGC22531",ENSG00000136155,Sciellin
SCFD1,chr14:30622291-30737694,"C14orf163, KIAA0917, RA410, SLY1, STXBP1L2",ENSG00000092108,Sec1 family domain containing 1
SCFD2,chr4:52872982-53366066,"FLJ39514, STXBP1L1",ENSG00000184178,Sec1 family domain containing 2
SCG2,chr2:223596940-223602361,"CHGC, SgII, SN",ENSG00000171951,Secretogranin II
SCG3,chr15:51681492-51721026,"FLJ90833, SgIII",ENSG00000104112,Secretogranin III
SCG5,chr15:32641676-32697098,"7B2, SGNE1, SgV",ENSG00000166922,Secretogranin V
SCGB1A1,chr11:62405103-62423195,"CC10, CC16, CCSP, UGB",ENSG00000149021,Secretoglobin family 1A member 1
SCGB1C1,chr11:193078-194575,RYD5,ENSG00000188076,Secretoglobin family 1C member 1
SCGB1C2,chr17:137569-139067,NA,ENSG00000268320,Secretoglobin family 1C member 2
SCGB1D1,chr11:62190216-62193539,"LIPA, LPHA, MGC71958",ENSG00000168515,Secretoglobin family 1D member 1
SCGB1D2,chr11:62242239-62244812,"LIPB, LPHB",ENSG00000124935,Secretoglobin family 1D member 2
SCGB1D4,chr11:62296281-62299075,IIS,ENSG00000197745,Secretoglobin family 1D member 4
SCGB2A1,chr11:62208673-62213943,"LPHC, MGB2, MGC71973, UGB3",ENSG00000124939,Secretoglobin family 2A member 1
SCGB2A2,chr11:62270158-62273160,"MGB1, MGC71974, PSBP1, UGB2",ENSG00000110484,Secretoglobin family 2A member 2
SCGB2B2,chr19:34590644-34677159,"SCGB4A2, SCGBL",ENSG00000205209,Secretoglobin family 2B member 2
SCGB3A1,chr5:180590105-180591499,"HIN-1, HIN1, LU105, PnSP-2, UGRP2",ENSG00000161055,Secretoglobin family 3A member 1
SCGB3A2,chr5:147870682-147882191,"LU103, PNSP1, UGRP1",ENSG00000164265,Secretoglobin family 3A member 2
SCGN,chr6:25652201-25701783,"CALBL, DJ501N12.8, SECRET, SEGN",ENSG00000079689,"Secretagogin, EF-hand calcium binding protein"
SCHIP1,chr3:159839861-159897360,SCHIP-1,ENSG00000151967,Schwannomin interacting protein 1
SCIMP,chr17:5208920-5234860,"C17orf87, DTFT5783, FLJ32580, MGC163426, MGC163428, UNQ5783",ENSG00000161929,SLP adaptor and CSK interacting membrane protein
SCIN,chr7:12570577-12660182,KIAA1905,ENSG00000006747,Scinderin
SCLT1,chr4:128864921-129093600,"FLJ30655, hCAP-1A",ENSG00000151466,Sodium channel and clathrin linker 1
SCLY,chr2:238060924-238099413,SCL,ENSG00000132330,Selenocysteine lyase
SCMH1,chr1:41027202-41242306,Scml3,ENSG00000010803,Scm polycomb group protein homolog 1
SCML1,chrX:17737449-17754988,NA,ENSG00000047634,Scm polycomb group protein like 1
SCML2,chrX:18239313-18354688,NA,ENSG00000102098,Scm polycomb group protein like 2
SCML4,chr6:107702154-107824317,dJ47M23.1,ENSG00000146285,Scm polycomb group protein like 4
SCN10A,chr3:38696802-38816286,"hPN3, Nav1.8, PN3, SNS",ENSG00000185313,Sodium voltage-gated channel alpha subunit 10
SCN11A,chr3:38845764-39052157,"NaN, Nav1.9, SCN12A, SNS-2",ENSG00000168356,Sodium voltage-gated channel alpha subunit 11
SCN1A,chr2:165984641-166149214,"FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI",ENSG00000144285,Sodium voltage-gated channel alpha subunit 1
SCN1B,chr19:35030470-35040449,NA,ENSG00000105711,Sodium voltage-gated channel beta subunit 1
SCN2A,chr2:165194993-165392310,"HBSCI, HBSCII, Nav1.2, SCN2A1, SCN2A2",ENSG00000136531,Sodium voltage-gated channel alpha subunit 2
SCN2B,chr11:118162806-118176639,NA,ENSG00000149575,Sodium voltage-gated channel beta subunit 2
SCN3A,chr2:165087526-165204050,Nav1.3,ENSG00000153253,Sodium voltage-gated channel alpha subunit 3
SCN3B,chr11:123629187-123655244,"HSA243396, SCNB3",ENSG00000166257,Sodium voltage-gated channel beta subunit 3
SCN4A,chr17:63938554-63972918,"HYKPP, HYPP, Nav1.4, SkM1",ENSG00000007314,Sodium voltage-gated channel alpha subunit 4
SCN4B,chr11:118133377-118152888,LQT10,ENSG00000177098,Sodium voltage-gated channel beta subunit 4
SCN5A,chr3:38548057-38649687,"CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1",ENSG00000183873,Sodium voltage-gated channel alpha subunit 5
SCN7A,chr2:166403573-166611482,"NaG, Nav2.1, Nav2.2, SCN6A",ENSG00000136546,Sodium voltage-gated channel alpha subunit 7
SCN8A,chr12:51590266-51812864,"CerIII, CIAT, MED, NaCh6, Nav1.6, PN4",ENSG00000196876,Sodium voltage-gated channel alpha subunit 8
SCN9A,chr2:166195185-166376001,"ETHA, Nav1.7, NE-NA, NENA, PN1",ENSG00000169432,Sodium voltage-gated channel alpha subunit 9
SCNM1,chr1:151156664-151170296,MGC3180,ENSG00000163156,Sodium channel modifier 1
SCNN1A,chr12:6346843-6377730,"ENaCalpha, SCNN1",ENSG00000111319,Sodium channel epithelial 1 subunit alpha
SCNN1B,chr16:23278231-23381294,ENaCbeta,ENSG00000168447,Sodium channel epithelial 1 subunit beta
SCNN1D,chr1:1280436-1292029,"dNaCh, ENaCdelta",ENSG00000162572,Sodium channel epithelial 1 subunit delta
SCNN1G,chr16:23182745-23216883,"ENaCgamma, SCNEG",ENSG00000166828,Sodium channel epithelial 1 subunit gamma
SCO1,chr17:10672474-10698375,SCOD1,ENSG00000133028,Synthesis of cytochrome C oxidase 1
SCO2,chr22:50523568-50526461,"MYP6, SCO1L",ENSG00000284194,Synthesis of cytochrome C oxidase 2
SCOC,chr4:140257286-140385728,"HRIHFB2072, SCOCO, UNC-69",ENSG00000153130,Short coiled-coil protein
SCP2,chr1:52927276-53051698,NA,ENSG00000116171,Sterol carrier protein 2
SCP2D1,chr20:18813783-18814378,"C20orf79, dJ1068E13.2, HSD22",ENSG00000132631,SCP2 sterol binding domain containing 1
SCPEP1,chr17:56978129-57006768,RISC,ENSG00000121064,Serine carboxypeptidase 1
SCRG1,chr4:173384701-173406380,SCRG-1,ENSG00000164106,Stimulator of chondrogenesis 1
SCRIB,chr8:143790920-143815773,"KIAA0147, SCRB1, Vartul",ENSG00000180900,Scribble planar cell polarity protein
SCRN1,chr7:29920104-29990289,KIAA0193,ENSG00000136193,Secernin 1
SCRN2,chr17:47837692-47841289,NA,ENSG00000141295,Secernin 2
SCRN3,chr2:174395730-174429575,FLJ23142,ENSG00000144306,Secernin 3
SCRT1,chr8:144330565-144336482,"DKFZp547F072, ZNF898",ENSG00000261678,Scratch family transcriptional repressor 1
SCRT2,chr20:661596-675802,ZNF898B,ENSG00000215397,Scratch family transcriptional repressor 2
SCT,chr11:626309-627181,NA,ENSG00000070031,Secretin
SCTR,chr2:119439843-119525301,NA,ENSG00000080293,Secretin receptor
SCUBE1,chr22:43197280-43343372,NA,ENSG00000159307,"Signal peptide, CUB domain and EGF like domain containing 1"
SCUBE2,chr11:9019476-9138114,"Cegb1, Cegf1, FLJ16792",ENSG00000175356,"Signal peptide, CUB domain and EGF like domain containing 2"
SCUBE3,chr6:35213956-35253079,"CEGF3, FLJ34743",ENSG00000146197,"Signal peptide, CUB domain and EGF like domain containing 3"
SCX,chr8:144266453-144268481,"bHLHa41, bHLHa48, SCXA, SCXB",ENSG00000260428,Scleraxis bHLH transcription factor
SCYGR1,chr2:227387683-227387949,KRTAP28-1,ENSG00000284629,Small cysteine and glycine repeat containing 1
SCYGR10,chr2:227608784-227609101,"KRTAP28-10, KRTAP28p2",ENSG00000284622,Small cysteine and glycine repeat containing 10 (gene/pseudogene)
SCYGR2,chr2:227598893-227599255,KRTAP28-2,ENSG00000284643,Small cysteine and glycine repeat containing 2
SCYGR3,chr2:227614538-227614840,KRTAP28-3,ENSG00000284704,Small cysteine and glycine repeat containing 3
SCYGR4,chr2:227617498-227617815,KRTAP28-4,ENSG00000284631,Small cysteine and glycine repeat containing 4
SCYGR5,chr2:227666804-227667061,KRTAP28-5,ENSG00000284667,Small cysteine and glycine repeat containing 5
SCYGR6,chr2:227724440-227724757,KRTAP28-6,ENSG00000284725,Small cysteine and glycine repeat containing 6
SCYGR7,chr2:227728335-227728625,KRTAP28-7,ENSG00000284718,Small cysteine and glycine repeat containing 7
SCYGR8,chr2:227745894-227746220,KRTAP28-8,ENSG00000284635,Small cysteine and glycine repeat containing 8
SCYL1,chr11:65525077-65538704,"GKLP, HT019, MGC78454, NKTL, NTKL, P105, TAPK, TEIF, TRAP",ENSG00000142186,SCY1 like pseudokinase 1
SCYL2,chr12:100267140-100341715,"CVAK104, KIAA1360",ENSG00000136021,SCY1 like pseudokinase 2
SCYL3,chr1:169849631-169894267,"PACE-1, PACE1",ENSG00000000457,SCY1 like pseudokinase 3
SDAD1,chr4:75940950-75990962,FLJ10498,ENSG00000198301,SDA1 domain containing 1
SDC1,chr2:20200797-20225433,"CD138, SDC, SYND1, syndecan",ENSG00000115884,Syndecan 1
SDC2,chr8:96493813-96611790,"CD362, fibroglycan, HSPG, HSPG1, SYND2",ENSG00000169439,Syndecan 2
SDC3,chr1:30869466-30908758,"N-syndecan, SYND3",ENSG00000162512,Syndecan 3
SDC4,chr20:45325288-45348424,"amphiglycan, ryudocan, SYND4",ENSG00000124145,Syndecan 4
SDCBP,chr8:58552924-58582859,"MDA-9, SYCL",ENSG00000137575,Syndecan binding protein
SDCBP2,chr20:1309909-1329139,"SITAC18, ST-2",ENSG00000125775,Syndecan binding protein 2
SDCCAG8,chr1:243256034-243500091,"BBS16, CCCAP, NPHP10, NY-CO-8, SLSN7",ENSG00000054282,SHH signaling and ciliogenesis regulator SDCCAG8
SDE2,chr1:225982702-225999343,"C1orf55, FLJ35382",ENSG00000143751,SDE2 telomere maintenance homolog
SDF2,chr17:28648346-28662189,NA,ENSG00000132581,Stromal cell derived factor 2
SDF2L1,chr22:21642302-21644299,"AP000553.C22.4, OTTHUMT00000075032",ENSG00000128228,Stromal cell derived factor 2 like 1
SDF4,chr1:1216931-1232031,Cab45,ENSG00000078808,Stromal cell derived factor 4
SDHA,chr5:218303-257082,"FP, SDH2, SDHF",ENSG00000073578,Succinate dehydrogenase complex flavoprotein subunit A
SDHAF1,chr19:35995188-35996312,LYRM8,ENSG00000205138,Succinate dehydrogenase complex assembly factor 1
SDHAF2,chr11:61430042-61446733,"C11orf79, FLJ20487, PGL2, SDH5",ENSG00000167985,Succinate dehydrogenase complex assembly factor 2
SDHAF3,chr7:97117698-97181763,"ACN9, DC11, LYRM10, Sdh7",ENSG00000196636,Succinate dehydrogenase complex assembly factor 3
